time_sec, latitude, longtidue, altitude
0.000000,0.000000,0.000000,621.863000
60.000000,0.000000,3.454560,624.304474
120.000000,0.000000,6.909120,626.751480
180.000000,0.000000,10.363656,629.234579
240.000000,0.000000,13.818112,631.784087
300.000000,0.000000,17.272400,634.429945
360.000000,0.000000,20.726400,637.201598
420.000000,0.000000,24.179964,640.127858
480.000000,0.000000,27.632910,643.236786
540.000000,0.000000,31.085030,646.555565
600.000000,0.000000,34.536088,650.110381
660.000000,0.000000,37.985819,653.926305
720.000000,0.000000,41.433934,658.027184
780.000000,0.000000,44.880122,662.435533
840.000000,0.000000,48.324047,667.172434
900.000000,0.000000,51.765355,672.257446
960.000000,0.000000,55.203671,677.708514
1020.000000,0.000000,58.638605,683.541895
1080.000000,0.000000,62.069753,689.772086
1140.000000,0.000000,65.496699,696.411769
1200.000000,0.000000,68.919014,703.471754
1260.000000,0.000000,72.336265,710.960944
1320.000000,0.000000,75.748012,718.886301
1380.000000,0.000000,79.153812,727.252830
1440.000000,0.000000,82.553219,736.063566
1500.000000,0.000000,85.945793,745.319579
1560.000000,0.000000,89.331094,755.019984
1620.000000,0.000000,92.708689,765.161961
1680.000000,0.000000,96.078153,775.740791
1740.000000,0.000000,99.439072,786.749894
1800.000000,0.000000,102.791044,798.180880
1860.000000,0.000000,106.133679,810.023611
1920.000000,0.000000,109.466605,822.266263
1980.000000,0.000000,112.789466,834.895406
2040.000000,0.000000,116.101925,847.896081
2100.000000,0.000000,119.403667,861.251889
2160.000000,0.000000,122.694396,874.945083
2220.000000,0.000000,125.973839,888.956664
2280.000000,0.000000,129.241746,903.266483
2340.000000,0.000000,132.497892,917.853343
2400.000000,0.000000,135.742077,932.695104
2460.000000,0.000000,138.974124,947.768795
2520.000000,0.000000,142.193884,963.050715
2580.000000,0.000000,145.401231,978.516543
2640.000000,0.000000,148.596067,994.141451
2700.000000,0.000000,151.778318,1009.900202
2760.000000,0.000000,154.947936,1025.767260
2820.000000,0.000000,158.104897,1041.716891
2880.000000,0.000000,161.249204,1057.723264
2940.000000,0.000000,164.380881,1073.760547
3000.000000,0.000000,167.499979,1089.803000
3060.000000,0.000000,170.606569,1105.825067
3120.000000,0.000000,173.700745,1121.801464
3180.000000,0.000000,176.782624,1137.707258
3240.000000,0.000000,179.852342,1153.517944
3300.000000,0.000000,-177.089946,1169.209528
3360.000000,0.000000,-174.044064,1184.758585
3420.000000,0.000000,-171.009820,1200.142334
3480.000000,0.000000,-167.987004,1215.338693
3540.000000,0.000000,-164.975390,1230.326342
3600.000000,0.000000,-161.974739,1245.084767
3660.000000,0.000000,-158.984796,1259.594317
3720.000000,0.000000,-156.005293,1273.836245
3780.000000,0.000000,-153.035951,1287.792747
3840.000000,0.000000,-150.076481,1301.446999
3900.000000,0.000000,-147.126581,1314.783191
3960.000000,0.000000,-144.185943,1327.786558
4020.000000,0.000000,-141.254249,1340.443399
4080.000000,0.000000,-138.331175,1352.741108
4140.000000,0.000000,-135.416391,1364.668185
4200.000000,0.000000,-132.509560,1376.214258
4260.000000,0.000000,-129.610342,1387.370093
4320.000000,0.000000,-126.718394,1398.127606
4380.000000,0.000000,-123.833368,1408.479868
4440.000000,0.000000,-120.954918,1418.421114
4500.000000,0.000000,-118.082694,1427.946739
4560.000000,0.000000,-115.216345,1437.053308
4620.000000,0.000000,-112.355524,1445.738542
4680.000000,0.000000,-109.499883,1454.001324
4740.000000,0.000000,-106.649077,1461.841685
4800.000000,0.000000,-103.802763,1469.260800
4860.000000,0.000000,-100.960602,1476.260975
4920.000000,0.000000,-98.122259,1482.845635
4980.000000,0.000000,-95.287404,1489.019308
5040.000000,0.000000,-92.455715,1494.787610
5100.000000,0.000000,-89.626871,1500.157225
5160.000000,0.000000,-86.800564,1505.135888
5220.000000,0.000000,-83.976489,1509.732358
5280.000000,0.000000,-81.154351,1513.956395
5340.000000,0.000000,-78.333863,1517.818736
5400.000000,0.000000,-75.514750,1521.331065
